,Text,Sentiments
10,"DREXEL OFFICIAL HAS STAKE IN EPSILON DATA &lt;EPSI>
  A senior official of Drexel Burnham
  Lambert Inc and his father told the Securities and Exchange
  Commission they have acquired 258,591 shares of Epsilon Data
  Management Inc, or 9.4 pct of the total outstanding.
      Kenneth Thomas, senior vice president-investments at
  Drexel's Los Angeles office, and his father, retired university
  professor C.A. Thomas, said they bought the stake for 2.1 mln
  dlrs primarily for investment purposes.
      They said they may buy more stock or sell some or all of
  their stake, depending on market conditions, but have no plans
  to seek control of the company.
  

",1
11,"&lt;NOVA> WINS GOVERNMENT OKAY FOR HUSKY &lt;HYO> DEAL
  Nova, the Canadian company that
  owns 56 pct of Husky Oil Ltd, said it received government
  approval for a transaction under which &lt;Union Faith Canada
  Holding Ltd> would buy a 43 pct stake in Husky.
      Nova said the Minister of Regional and Industrial
  Expansion, Michel Cote, ruled that Union Faith's purchase of
  the Husky stake would not result in Husky ceding control to a
  non-Canadian company. It said this ruling was a key condition
  in completing the deal.
      Union Faith is equally owned by &lt;Hutchison Whampoa Ltd> and
  &lt;Hong Kong Electric Holdings Ltd>.
      Under the agreement with Union Faith, Husky will become a
  private company with Union Faith and Nova each holding 43 pct
  of its stock.
      Nine pct of Husky would be owned by relatives of Li
  Ka-Shing, chairman of Hutchison, and five pct by the Canadian
  Imperial Bank of Commerice.
  

",1
12,"MARSHALL STEEL DETAILS GAIN FROM UNIT SALE
  (Marshall Steel Ltd), formerly Marshall
  Drummond McCall Inc, said it will report a 17 mln dlr net gain
  before taxes this year from the sale of its Drummond McCall
  division, which was sold effective January one.                
  

",1
13,"VERSATILE TO SELL UNIT TO VICON
  &lt;Versatile Corp> said
  it agreed in principle to sell its Alberta-based Versatile
  Noble Cultivators Co division to Vicon Inc, of Ontario, for
  undisclosed terms.
      The division manufactures tillage and spraying equipment.
  

",1
14,"CIRCUIT SYSTEMS &lt;CSYI> BUYS BOARD MAKER
  Circuit Systems Inc said it has
  bought all of the stock of (Ionic Industries Inc) in exchange
  for 3,677,272 shares of its common.
      Following the exchange there will be 4,969,643 shares of
  Circuit Systems stock outstanding. Ionic holders will own about
  74 pct of the outstanding stock of Circuit Systems, it said.
      Ionic, a maker of circuit boards, had revenues of 8.4 mln
  dlrs and pretax profits of 232,000 dlrs in 1986, up from
  revenues of 5.9 mln and pretax profits of 204,000 dlrs in 1985,
  Circuit Systems said.
  

",1
15,"FAMOUS RESTAURANTS INC &lt;FAMS> 4TH QTR LOSS
  Shr loss 2.07 dlrs vs loss eight cts
      Net loss 11,445,000 vs loss 501,000
      Revs 14.5 mln vs 11.0 mln
      Year
      Shr loss 1.91 dlrs vs profit four cts
      Net loss 12,427,000 vs profit 211,000
      Revs 60.8 mln vs 51.5 mln
      Note: includes non-recurring charges of 12,131,000 dlrs in
  the 4th qtr and 12,500,000 dlrs in the year for reserve for
  underperforming restaurants.
  

",1
16,"CHINA SIGNS WORLD BANK LOAN FOR TIANJIN PORT
  China has signed a 130 mln dlr loan
  agreement with the World Bank to partly finance 12 new berths
  with an annual capacity of 6.28 mln tonnes at the 20 mln tonne
  a year capacity Tianjin port, the New China News Agency said.
      China will provide 370 mln yuan for the project and a
  Chinese company won a bid against 12 other firms from seven
  countries to do the foundation work, it said.
      It said 11 of the new berths will be able to handle ships
  of more than 10,000 tonnes, three will handle containers and
  the expansion will enable the port to handle coke, non-metal
  mineral ores and mining equipment for the first time.
  

",1
17,"DUTCH OILSEEDS/FATS IMPORTS ROSE IN 1986
  and oil-bearing
  raw materials, fats and oils rose to 2.16 mln tonnes on a
  fat/oil basis in 1986 from 2.12 mln tonnes in 1985, the
  Commodity Board for Margarine, Fats and Oils said.
      Exports of the same commodities fell to 1.35 mln tonnes
  from 1.38 mln on a fat-oil basis.
      Fat- and oil-bearing raw materials imports rose to 760,000
  from 709,200 tonnes on a fat/oil basis and to 3.47 mln tonnes
  actual weight from 3.32 mln.
      Soyabeans were the main component, with imports rising to
  2.82 mln tonnes actual weight from 2.75 mln. Sunflowerseed
  imports fell to 308,200 from 342,900 tonnes while rapeseed
  imports rose to 292,000 from 201,400 tonnes.
      Exports of fat- and oil-bearing raw materials rose to
  28,700 tonnes from 19,800 on a fat/oil basis and to 137,200
  from 89,900 tonnes actual weight.
      Soyabean exports rose to 119,400 tonnes actual weight from
  73,200 tonnes.
      Imports of vegetable fats, including palm oil, rose to
  445,400 tonnes from 362,500 and exports to 151,500 from
  139,800.
      Vegetable oil imports fell to 227,500 tonnes in 1986 from
  286,300 in 1985, and exports to 661,400 from 683,400 tonnes.
      Soyabean oil imports were 32,000 (48,200), sunflower oil
  61,600 (92,800), rape oil 82,900 (94,900) and groundnut oil
  9,300 (12,200). Exports of soybean oil were 325,900 (338,800),
  sun oil 172,100 (189,800), rape oil 114,300 (103,400) and
  groundnut oil 7,000 (10,400).
      Animal fat imports rose to 371,700 from 345,800 tonnes and
  exports to 124,100 tonnes from 113,000. Fishoil imports fell to
  190,600 from 265,600 and exports to 56,500 from 85,500 tonnes.
   reuter...
  

",1
18,"CHINA'S HEILONGJIANG PROVINCE BOOSTS GOLD OUTPUT
  Gold output in the northeast China
  province of Heilongjiang rose 22.7 pct in 1986 from 1985's
  level, the New China News Agency said. It gave no figures.
      It said the province, China's second largest gold producer
  after Shandong, plans to double gold output by 1990 from the
  1986 level. China does not publish gold production figures.
      However, industry sources estimate output at about 65
  tonnes a year, with exports put between 11 and 31 tonnes.
      China is selling more gold abroad to offset large trade
  deficits in recent years, western diplomats said.
  

",1
19,"DUTCH ANIMAL FEED USAGE DOWN IN FIRST HALF SEASON
  Dutch animal feed usage in the first
  half of the current season from July through December 1986 fell
  7.6 pct to 6.5 mln tonnes from 7.1 mln in the same period of
  1985, figures in the latest newsletter from the co-operative
  Cebeco-Handelsraad show.
      Tapioca usage fell 9.1 pct to 1.4 mln tonnes from 1.6 mln
  in the first half of the 1985/86 season.
      Grain usage fell 6.1 pct to 1.1 mln tonnes from 1.2 mln,
  while soymeal usage fell 10 pct to 967,000 tonnes from 1.1 mln.
      Cornglutenfeed usage fell 17.8 pct to 729,000 tonnes from
  887,000, but cornfeedmeal usage nearly doubled to 399,000
  tonnes from 201,000.
      Citruspulp usage dropped 62.8 pct to 149,000 tonnes from
  400,000 tonnes, while rapeseed and meal usage rose 9.6 pct to
  217,000 tonnes from 198,000 and sunmeal rose 25.6 pct to
  216,000 tonnes from 172,000 tonnes.
      During the whole of the season from July 1985 to June 1986,
  Dutch soymeal usage fell 12 pct to 1.9 mln tonnes from 2.1 mln
  the previous season, while sunmeal usage rose 25 pct to 408,000
  tonnes from 325,000.
      Rapeseed and meal usage during the season also rose 14 pct
  to 409,000 tonnes from 360,000, but citruspulp fell 37 pct to
  516,000 tonnes from 826,000.
      Meanwhile, the value of exports of agricultural products
  from the Netherlands in calendar 1986 fell 5.4 pct to 48.7
  billion guilders from 51.5 billion in calendar 1985, figures
  from the Ministry of Agriculture show.
      During the same period imports of agricultural products
  dropped 13.1 pct to 31.2 billion guilders from 35.8 billion.
  

",1
20,"U.K. CONFIRMS JANUARY STERLING M3 RISE
  The Bank of England said the broad
  measure of U.K. Money supply, Sterling M3, rose a seasonally
  adjusted 1.1 pct in January after a 0.2 pct rise in December.
      The unadjusted year-on-year rise was 17.6 pct after 18.1
  pct in the year to December.
      The narrow measure of money supply, M0, fell by a
  seasonally adjusted 0.6 pct in January, and rose by a
  non-adjusted 4.1 pct year-on-year, the Bank said.
      The figures confirm provisional data issued by the Bank two
  weks ago.
      In December, M0 grew by a seasonally adjusted 1.4 pct and
  by a non-seasonally adjusted 5.2 pct year-on-year.
      The Bank said sterling bank lending grew by a
  non-seasonally adjusted 1.75 billion stg in January. This also
  confirmed provisional figures issued in February.
      The measure of private sector liquidity, PSL2, fell 0.2 pct
  in January, but after seasonal adjustment rose 0.6 pct, the
  Bank said.
      The Bank said the public sector contribution to the growth
  in Sterling M3 was contractionary by about 2.3 billion stg.
      Within this, the Public Sector Borrowing Requirement (PSBR)
  showed a repayment of 3.7 billion stg, while the non-bank
  private sector's holdings of government debt fell by about 1.1
  billion stg.
      There was a fall of 290 mln stg in notes and coin in
  January, a fall of 1.5 billion stg in non-interest bearing
  sight deposits, and a rise of 1.6 billion stg in interest
  bearing sight deposits, the Bank said.
  

",1
21,"CARLTON COMMUNICATIONS OPTIMISTIC FOR 1987
  &lt;Carlton Communications Plc> has started
  the current financial year well, with accounts for the first
  four months showing a healthy increase on the same period last
  year, and Chairman M.P. Green told the annual meeting he looked
  forward to 1987 with optimism.
      The issue of 4.6 mln shares in ADR form had now been
  successfully completed, he added.
      Carlton intended to increase its presence in the U.S. Which
  represented 50 pct of the world television market. Conditions
  worldwide in the television industry continued to look buoyant,
  the Chairman noted.
  

",1
22,"&lt;SDC SYDNEY DEVELOPMENT CORP> NINE MTHS LOSS
  Period ended December 31, 1986
      Oper shr loss 1.08 dlrs vs loss 84 cts
      Oper loss 7,700,000 vs loss 1,700,000
      Revs 11,800,000 vs 9,800,000
      Note: Current shr and net exclude extraordinary gain of
  300,000 dlrs or five cts shr, versus extraordinary gain of
  200,000 dlrs or four cts shr
  

",1
23,"SWISS SIGHT DEPOSITS RISE 3.10 BILLION FRANCS
  Sight deposits by commercial banks at the
  Swiss National Bank rose by 3.10 billion Swiss francs to 10.53
  billion in the last 10 days of February, the National Bank
  said.
      Foreign exchange reserves fell 3.06 billion francs to 30.64
  billion.
      Sight deposits are an important measure of Swiss money
  market liquidity.
      The decline in foreign exchange reserves reflected the
  dismantling of swap arrangements, the National Bank said.
      Banknotes in circulation rose by 834 mln francs to 24.79
  billion while other deposits on call - mainly government funds
  - fell 1.60 billion francs to 1.04 billion.
  

",1
24,"BALLY &lt;BLY> COMPLETES PURCHASE OF GOLDEN NUGGET
  Bally Manufacturing Corp said it
  completed the acquisition of the Golden Nugget Casino Hotel in
  Atlantic City, New Jersey from Golden Nugget Inc.
      Bally also acquired from Golden Nugget various parcels of
  real estate in Atlantic City, it noted.
      The transaction included 140 mln dlrs in cash and stock and
  the assumption of a 299 mln dlrs mortgage.
  

",1
25,"CANADA INDUSTRIAL PRICES UP 0.2 PCT IN MONTH
  Canada's industrial product price index
  rose 0.2 pct in January after falling 0.2 pct in each of the
  two previous months, Statistics Canada said.
      The rise was led by price gains for papers, pharmaceuticals
  and petroleum and coal products. Price declines were recorded
  for meat products, lumber and motor vehicles.
      On a year over year basis, the federal agency said the
  index fell 0.9 pct in January, the largest yearly decline on
  record.
  

",1
26,"FOUR SEASONS BUYING MARRIOTT &lt;MHS> HOTEL
  &lt;Four Seasons Hotels Inc> and VMS Realty
  Partners said they agreed to acquire the Santa Barbara Biltmore
  Hotel in California from Marriott Corp, for undisclosed terms.
      Closing was expected by March 31, they added.
      The companies said they would jointly own the hotel and
  rename it the Four Seasons Biltmore at Santa Barbara. They said
  they would spend more than 13 mln U.S. dlrs ""to enhance the
  Biltmore's position as one of the finest resort hotels in North
  America."" Chicago-based VMS Realty is a real estate and
  development firm.
  

",1
27,"UTILICORP &lt;UCU> COMPLETES ACQUISITION
  UtiliCorp United Inc said it
  completed the acquisition of West Virginia Power from Dominion
  Resources for about 21 mln dlrs.
      The sale was approved by the West Virginia Public Service
  Commission in January and became effective March one. West
  Virginia's management will continue to be responsible for
  operating the utility, it said.
  

",1
28,"CARBIDE &lt;UK> LOOKS TO ACQUISITIONS FOR GROWTH
  Union Carbide Corp is looking to
  acquisitions and joint ventures to aid its chemicals and
  plastics growth, according the H.W. Lichtenberger, president of
  Chemicals and Plastics.
      Describing this as a major departure in the company's
  approach to commercial development, he told the annual new
  business forum of the Commercial Development Association ""We
  are looking to acquisitions and joint ventures when they look
  like the fastest and most promising routes to the growth
  markets we've identified.""
      Not very long ago Union Carbide had the attitude ""that if
  we couldn't do it ourselves, it wasn't worth doing. Or, if it
  was worth doing, we had to go it alone,"" Lichtenberger
  explained.
      He said ""there are times when exploiting a profitable
  market is done best with a partner. Nor do we see any need to
  plow resources into a technology we may not have if we can link
  up profitably with someone who is already there.""
      He said Carbide has extended its catalyst business that way
  and is now extending its specialty chemicals business in the
  same way.
  

",1
29,"MERCURY ENTERTAINMENT &lt;MCRY> SEES BETTER RESULTS
  Mercury Entertainment Corp said it
  expects improved results in 1987.
      The company today reported a loss for the year ended
  November 30 of 413,021 dlrs on revenues of 600,971 dlrs,
  compared with a loss of 163,932 dlrs on revenues of 665,800
  dlrs a year before.
  

",1
30,"&lt;RENOUF CORP> TO PROCEED WITH BENEQUITY &lt;BH> BID
  Renouf Corp of New Zealand said it
  has decided to proceed with its offer for all outstanding units
  of Benequity Holdings at 31 dlrs per unit.
      The company had been required to redice by March Two
  whether to proceed with the offer or terminate it, based on its
  ability to obtain financing and on its review of Benequity
  operations.  The offer is to expire March 13.
  

",1
31,"UP-RIGHT INC &lt;UPRI> 4TH QTR OPER NET
  Oper shr five cts vs 29 cts
      Oper net 151,000 vs 867,000
      Revs 12.7 mln vs 14.1 mln
      Year
      Oper shr 87 cts vs 52 cts
      Oper net 2,650,000 vs 1,565,000
      Revs 54.7 mln vs 49.1 mln
      Note: oper data does not include 4th qtr 1986 extraordinary
  credit of 14,000 dlrs or 4th qtr 1985 extraordinary loss of
  139,000 dlrs, or five cts per shr. For year, does not include
  extraordinary credit of 92,000 dlrs, or three cts per shr, in
  1986 and 161,000 dlrs, or five cts per shr, in 1985.
  

",1
32,"ROSPATCH &lt;RPCH> REJECTS DIAGNOSTIC &lt;DRS> BID
  Rospatch Corp said it
  rejected a proposal by Diagnostic Retrieval Systems Inc to
  acquire its stock at 22 dlrs a share.
      Rospatch's board believes that the long term interests of
  its shareholders will be best served by continuing as an
  independent public company at this time, the company said in
  response to an unsolicited offer from Diagnostic Retrieval.
      Rospatch said Diagnostic's offer of February 27 is a
  variation of a previous offer in January, the nature of which
  was not disclosed.
      Rospatch said it advised Diagnostic Retrieval that ""it
  would be contrary to the best interests of the corporation
  to engage in any discussions concerning a business combination
  with Diagnostic Retrieval.""
  

",1
33,"JWT &lt;JWT> NOT APPROACHED BY GROUP SEEKING SHARES
  JWT Group Inc has not been approached
  by former Ted Bates Worldwide Chairman Robert Jacoby about the
  possibility of a syndicate buying a 35 pct stake in JWT Group
  on a friendly basis, a company spokesman said.
      He said JWT would have no comment on an Advertising Age
  report that Jacoby is considering heading up a venture capital
  syndicate to purchase a 35 pct stake in JWT group.
      Jacoby was not immediately available for comment on the
  report. Ted Bates is now owned by &lt;Saatchi and Saatchi>, the
  world's largest advertising agency.
  

",1
34,"FOOTE MINERAL &lt;FTE> SELLS CAMBRIDGE PLANT
  Foote Mineral Co said it signed a
  letter of intent with Shieldalloy Corp, a wholly-owned
  subsidiary of &lt;Metallurg Inc>, for the sale of its Cambridge,
  Ohio, business.
      The company said the sale, which will be explained in
  greater detail after the definitive agreement has been signed,
  is part of Foote's previously-announced plan to sell the entire
  company.
  

",1
35,"CCL UNIT ACQUIRES NESTLE CANADA CAN OPERATIONS
  &lt;CCL Industries Inc>'s Continental Can
  Canada Inc unit said it acquired the Wallaceburg, Ontario,
  metal can making operations of Nestle Enterprises Ltd, wholly
  owned by &lt;Nestle SA>, of Switzerland. Terms were undisclosed.
      Continental Can said it would supply Nestle's equivalent
  can requirements under a long-term agreement.
      Nestle said it decided to stop manufacturing cans ""in order
  to be in a better position to take full advantage of the
  changes underway or on the horizon in food packaging
  technology.""
  

",1
36,"EXXON &lt;XON> CUTS HEATING OIL BARGE PRICE
  Oil traders in New York said Exxon
  Corp's Exxon U.S.A. unit reduced the price it charges contract
  barge customers for heating oil in New York harbor 0.75 cent a
  gallon, effective today.
      They said the reduction brings Exxon's contract barge price
  to 43.25 cts. The price decrease follows sharp declines in
  heating oil prices on spot and futures markets, traders said.
  

",1
37,"MICROBIO &lt;MRC> PLANS ACQUISITION, FINANCING
  Microbiological Research Corp
  said it entered into a letter of intent for a proposed business
  combination with privately owned &lt;DataGene Scientific
  Laboratories Inc>, and &lt;Milex Corp> a newly formed company,
  through a stock swap.
      It also said it received 100,000 dlrs from the sale of a
  convertible note to Ventana Growth Fund as part of an overall
  1,100,000 equity financing plan with Ventana. Under that plan,
  a minimum of 400,000 dlrs and a maximum of one mln dlrs of
  additional new capital is to be provided to fund the combined
  operations of the three companies.
      Microbiological also said that if the maximum additional
  capital is raised, it will own about 49 pct of 4,550,00 shares
  of common outstanding in the new combined company, DataGene
  holders will own 29 pct, and Ventana and others will own 13
  pct.
      It said the remaining nine pct will be held by Milex
  shareholder Norman Monson, who will become chief executive
  officer of the combined companies.
  

",1
38,"CANTREX UNIT TO MERGE WITH ONTARIO GROUP
  (Groupe Cantrex Inc) said it plans to
  merge a new wholly-owned subsidiary a merger agreement with
  (CAP Appliance Purchasers Inc), of Woodstock, Ontario, a group
  of about 400 appliance and electronics retailers.
      It said CAP shareholders will receive 140,700 first
  preferred Groupe Cantrex shares entitling the holders to
  receive 6.05 dlrs per share or the equivilant in class A
  subordinate voting Cantrex shares.
      The merger is effective April one and is subject to
  shareholder approval.         
  

",1
39,"ITT'S &lt;ITT> HARTFORD UNIT POSTS 4TH QTR GAIN
  Hartford Insurance Group, a unit
  of New York-based ITT Corp, said higher worldwide premiums help
  boost net income for the 1986 fourth quarter to 88.6 mln dlrs,
  from net income of 36.7 mln dlrs for the 1985 quarter.
     For the full year, Hartford said it earned 329 mln dlrs, up
  from 151.4 mln dlrs in 1985.
      Hartford said results for the year were aided by a gain of
  46.5 mln dlrs on the sale of its remaining 52 pct stake in
  Abbey Life Group PLC. For 1985, the company posted a gain of
  14.3 mln dlrs on the sale of 48 pct of Abbey Life.
      Hartford said total property-casualty and life-health
  written premiums rose 25 pct in 1986, to eight billion dlrs,
  from 6.4 billion dlrs in 1985.
  

",1
40,"CBT FEBRUARY VOLUME DOWN 14 PCT FROM YEAR AGO
  February volume at the Chicago Board of
  Trade, CBT, declined 14 pct from the year-ago month to
  8,191,266 contracts, the exchange said.
      A relatively steady interest rate climate reduced volume in
  the most active contract, Treasury bond futures, by 17.5 pct
  from a year ago to 4,307,645 contracts.
      However, trading in most agricultural futures contracts
  increased last month, led by oats and corn futures.
      Oats volume tripled to 27,662 contracts, and corn volume
  increased 35 pct to 580,204 contracts. Wheat and soybean oil
  futures activity also rose from a year ago, while soybean and
  soybean oil volume slipped, the exchange said.
      Major Market Index futures increased activity 37 pct during
  the month with 194,697 contracts changing hands.
  

",1
41,"CANADIAN SEAFARERS THREATEN STRIKE
  Canadian seafarers are almost certain
  to go on strike this spring in a refusal to meet rollbacks in
  wages and benefits asked for by their employers, Seafarers'
  International Union official Roman Gralewicz said.
      ""It's 99.9 percent--I guarantee you a strike,"" Gralewicz
  said in an interview.
      The union represents about 2,300 workers on the Great Lakes
  and Canada's East and West coasts. Contract talks broke off in
  January and a conciliator has been appointed to try to help
  settle the dispute. The current contract expires at the end of
  March.
      The seafarers' employers are also asking for a reduction in
  crew levels, a move which the union said would cost about 400
  jobs.
  

",1
42,"MALAYSIA RE-IMPOSES EXPORT DUTIES ON RUBBER
  The Malaysian government said it
  has re-imposed export duties on rubber at 3/8 cent per kilo
  after the gazetted price moved above the threshold price of 210
  cents per kilo.
      The gazetted price, effective March 1, rose to 213-1/2
  cents per kilo from February's 207.
      The duty for research remains at 3.85 cents per kilo and
  the replanting duty is also unchanged at 9.92 cents.
  

",1
43,"SOUTH KOREAN TRADE SURPLUS NARROWS IN FEBRUARY
  South Korea's customs-cleared trade
  surplus narrowed to 110 mln dlrs in February from 525 mln in
  January, provisional trade ministry figures show.
      In February 1986 there was a deficit of 264 mln dlrs.
      February exports rose to 2.87 billion dlrs, fob, from 2.83
  billion in January and 2.30 billion in February 1986. CIF
  imports were 2.76 billion against 2.31 billion in January and
  2.57 billion in February last year.
  

",1
44,"FISONS PLC &lt;FISN.L> YEAR TO END-1986
  Shr 27.5p vs 24.3p
      Div 3.95p vs 3.34p making 6.5p vs 5.5p
      Pre-tax profit 85.1 mln stg vs 72.3 mln
      Turnover 702.6 mln vs 646.7 mln
      Tax 18.4 mln vs 15.2 mln
      Finance charges 4.1 mln vs 5.4 mln
      Minority interest 0.1 mln vs 0.5 mln
      Extraordinary debit, being closure and restructuring costs
  4.9 mln vs 3.7 mln
      Operating profit includes -
      Pharmaceutical 49.8 mln vs 39.0 mln
      Scientific equipment 23.2 mln vs 19.2 mln
      Horticulture 8.0 mln vs 8.7 mln
      Note - company said it plans one-for-one capitalisation
  

",1
45,"STC PLC &lt;STCL.L> YEAR TO END-1986
  Shr profit 15.9p vs 2.25p loss
      Div 3p making 4.5p vs nil
      Turnover 1.93 billion stg vs 1.99 billion
      Pretax profit 134.2 mln vs 11.4 mln loss
      Tax 47.2 mln vs nil
      Operating profit 163.0 mln vs 92.7 mln
      Interest less investment income 13.8 mln vs 37.2 mln
      Exceptional debit 15.0 mln vs 66.9 mln
      Minorities 0.3 mln vs 0.4 mln
      Extraordinary credit 16.4 mln vs 42.0 mln debit
      Operating profit includes -
      International computers 90.2 mln vs 61.7 mln
      Communications systems 56.1 mln vs 48.7 mln
      Components and distribution 20.0 mln vs 1.5 mln
      Defence 9.4 mln vs 13.1 mln
  

",1
46,"SWISS CAPITAL EXPORTS RISE IN JANUARY
  Swiss capital exports rose to 4.64
  billion francs in January after 2.54 billion in December and a
  year earlier 3.64 billion, the Swiss National Bank said.
      New bond issues accounted for 4.12 billion of the total
  after December's 2.15 billion, and credits 525.1 mln after
  389.9 mln.
      In January 1985, before the National Bank ended the
  distinction between notes and bonds, bond issues totalled 1.66
  billion francs, notes 1.39 billion and credits 597.5 mln.
  

",1
47,"HONG KONG M3 RISES 2.2 PCT IN JANUARY
  Hong Kong's broadly defined M3 money
  supply rose 2.2 pct to 607.17 billion H.K. Dlrs in January,
  after a 3.1 pct rise in December, for a year-on-year rise of
  23.3 pct, the government said in a statement.
      Local currency M3 rose 3.6 pct to 280.36 billion dlrs from
  December when it was up 3.4 pct from November, for a rise of
  16.3 pct on the year.
      Total M2 rose 3.3 pct to 535.26 billion dlrs in January
  from December when it rose 3.5 pct on the previous month. Local
  M2 rose 4.7 pct to 249.03 billion dlrs in January from December
  when it climbed 4.2 pct.
      Total M2 and local M2 rose 32.5 pct and 23.9 pct on the
  year-ago month, respectively.
      Total M1 rose 12 pct to 62.84 billion dlrs in January after
  a 5.0 pct rise the previous month. Local M1 rose 12.3 pct to
  57.97 billion dlrs after a 6.2 pct rise. Total M1 and local M1
  year-on-year growth was 32.5 and 32.6 pct, respectively.
      Total loans and advances rose 3.3 pct to 517.19 billion
  dlrs from December when they rose 1.2 pct.
      Loans for financing Hong Kong's visible trade rose 3.4 pct
  to 36.72 billion dlrs after a 1.8 pct rise in December.
  

",1
48,"UNILEVER IMPROVES IN MOST SECTORS DURING 1986
  The Unilever Plc and NV &lt;UN.A> group saw
  improved performance in almost all sectors during 1986, the
  Anglo-Dutch group said in its results statement.
      Very good progress was made last year, while the recent
  acquisition of Chesebrough-Pond's Inc &lt;CBM.N> was a significant
  addition which will greatly benefit the group in the years to
  come.
      Earlier, Unilever reported combined fourth quarter pre-tax
  profit of 276 mln stg, level with the year earlier period,
  making 1.14 billion stg compared with 953 mln for the 1986 full
  year.
      Unilever said it plans to change its depreciation policy to
  the more conventional practice of depreciating assets
  individually rather than depreciating fixed assets at average
  rates. The new method is expected to lead to a reduction in the
  accumulated provision for depreciation and thereby increase the
  net book value of tangible asssets by about 300 mln stg as at
  January 1, 1987.
      Unilever Plc shares are up 25p since yesterday at 2,575p in
  buoyant response to the results and share split proposal,
  though 1986 profits were not ahead of market forecasts, dealers
  added.
  

",1
