id,DataBatch,Date,TotalVolume,4046,4225,4770,TotalBags,SmallBags,LargeBags,XLargeBags,type,region,AveragePrice
16,37,2017-04-16,533442.27,329067.9,75100.84,127.13,129146.4,73084.25,56062.15,0.0,conventional,MiamiFtLauderdale,1.5
17,43,2016-02-28,89262.56,28679.61,6947.04,2.79,53633.12,38914.83,14718.29,0.0,organic,SouthCentral,1.24
18,51,2015-01-04,1402890.2,23641.0,1127882.44,1871.07,249495.69,178683.01,70812.68,0.0,conventional,NewYork,1.09
19,8,2015-11-01,326067.03,4471.3,271817.93,288.44,49489.36,44831.2,4658.16,0.0,conventional,HartfordSpringfield,1.16
20,7,2017-11-12,62300.0,4073.0,37767.0,65.0,20395.0,17129.0,3266.0,0.0,conventional,Syracuse,1.32
21,37,2015-04-12,8205.75,4230.7,3803.44,0.0,171.61,171.61,0.0,0.0,organic,Sacramento,1.65
22,48,2016-01-24,489584.58,154051.35,95837.97,151279.99,88415.27,58403.04,4513.96,25498.27,conventional,Detroit,0.94
23,8,2015-11-01,553096.84,4886.14,449532.49,170.29,98507.92,93443.08,5064.84,0.0,conventional,Boston,1.06
24,44,2016-02-21,3564.84,211.91,2287.77,382.96,682.2,660.0,22.2,0.0,organic,RaleighGreensboro,1.76
25,38,2017-04-09,12113.04,208.57,6330.09,401.45,5172.93,3146.38,2026.55,0.0,organic,RaleighGreensboro,2.07
26,28,2017-06-18,8654.94,463.9,2943.06,0.0,5247.98,784.38,4463.6,0.0,organic,Columbus,1.14
27,23,2016-07-17,16805.05,2094.03,4551.64,0.0,10159.38,1996.32,8163.06,0.0,organic,Atlanta,1.21
28,7,2018-02-04,1384683.41,117922.52,287724.61,1703.52,977084.84,774695.74,201878.69,510.41,organic,TotalUS,1.53
29,12,2015-10-04,5828.18,54.08,4018.33,0.0,1755.77,583.33,1172.44,0.0,organic,Roanoke,1.6
30,32,2017-05-21,385075.85,39609.47,214417.22,619.72,130429.44,118137.44,12100.33,191.67,conventional,Philadelphia,1.75
31,2,2016-12-11,510800.58,3711.2,409645.98,5052.84,92390.56,90449.44,1634.18,306.94,conventional,Boston,1.22
32,25,2015-07-05,7883.53,169.14,5367.15,0.0,2347.24,693.33,1653.91,0.0,organic,Roanoke,1.37
33,15,2016-09-11,3194.19,837.77,386.27,0.0,1970.15,638.38,1331.77,0.0,organic,Spokane,1.53
34,10,2018-01-14,194619.31,77236.77,24462.37,3266.68,89653.49,75499.35,14125.61,28.53,conventional,Columbus,1.07
35,23,2015-07-19,246513.23,46281.36,63762.88,45046.22,91422.77,90363.6,1059.17,0.0,conventional,RaleighGreensboro,1.2
36,43,2017-03-05,32292.39,2078.48,4175.17,0.0,26038.74,342.28,25696.46,0.0,organic,Atlanta,0.62
37,20,2017-08-13,14483.05,285.14,243.13,18.13,13936.65,13936.65,0.0,0.0,organic,HarrisburgScranton,1.69
38,11,2015-10-11,10647.39,6628.99,378.41,0.0,3639.99,3636.66,3.33,0.0,organic,DallasFtWorth,1.48
39,21,2015-08-02,2742211.46,1883744.01,503247.72,58532.61,296687.12,291524.01,2991.1,2172.01,conventional,LosAngeles,1.0
40,3,2016-12-04,12252.47,529.77,4890.87,0.0,6831.83,6310.2,521.63,0.0,organic,Detroit,1.36
41,10,2017-10-22,2596.43,67.32,531.36,7.21,1990.54,1812.23,178.31,0.0,organic,Jacksonville,2.02
42,34,2017-05-07,6216.76,191.24,2221.64,0.0,3803.88,216.57,3587.31,0.0,organic,Nashville,1.22
43,23,2017-07-23,464876.48,7288.33,387463.06,6472.03,63653.06,10484.64,49641.75,3526.67,conventional,NorthernNewEngland,1.38
44,39,2015-03-29,119890.65,1352.63,48430.03,80.52,70027.47,69919.0,108.47,0.0,conventional,BuffaloRochester,1.39
45,5,2015-11-22,885067.49,494872.79,264820.58,9913.68,115460.44,102317.99,13138.76,3.69,conventional,DallasFtWorth,0.78
46,36,2016-04-17,40280.96,4725.66,18018.14,2509.18,15027.98,13176.01,1851.97,0.0,organic,NewYork,1.98
47,12,2015-10-04,20398.64,787.1,19394.87,0.0,216.67,216.67,0.0,0.0,organic,Chicago,1.78
48,10,2016-10-16,992992.79,492462.88,223737.35,3348.82,273443.74,132407.09,141036.65,0.0,conventional,Houston,0.98
49,0,2017-12-31,578374.5,130774.36,396250.81,922.03,50427.3,46215.9,521.92,3689.48,conventional,Sacramento,1.03
50,19,2016-08-14,1873446.99,882147.93,435932.3,6193.74,549173.02,525124.87,16834.48,7213.67,conventional,Plains,1.12
51,19,2015-08-16,3653376.07,414756.68,2087149.52,475383.38,676086.49,486209.97,129683.8,60192.72,conventional,GreatLakes,1.03
52,15,2017-09-17,409206.24,278164.17,53156.3,50.37,77835.4,16642.51,61152.89,40.0,conventional,MiamiFtLauderdale,1.84
53,2,2015-12-13,140036.16,100533.31,8913.72,199.12,30390.01,11312.69,19064.31,13.01,conventional,Jacksonville,0.96
54,18,2017-08-27,653598.86,51628.46,402657.24,5171.88,194141.28,192627.66,800.29,713.33,conventional,BaltimoreWashington,1.66
55,31,2015-05-24,1811.7,1036.04,16.06,0.0,759.6,751.37,8.23,0.0,organic,MiamiFtLauderdale,1.77
56,24,2015-07-12,128054.41,50647.98,42235.42,740.63,34430.38,34430.38,0.0,0.0,conventional,Roanoke,1.06
57,49,2017-01-22,19452.17,645.63,4104.58,0.0,14701.96,1331.38,13370.58,0.0,organic,Detroit,0.77
58,7,2015-11-08,605197.12,167254.55,249160.89,4458.45,184323.23,124419.8,59903.43,0.0,organic,TotalUS,1.54
59,4,2015-11-29,22168.32,457.29,21677.7,0.0,33.33,33.33,0.0,0.0,organic,Chicago,1.59
60,21,2017-08-06,10853.28,221.48,4752.99,0.0,5808.95,3807.57,2001.38,0.0,organic,CincinnatiDayton,2.06
61,12,2015-10-04,2814678.93,296032.66,1632488.05,381986.61,504171.61,354840.13,106127.86,43203.62,conventional,GreatLakes,1.05
62,43,2017-03-05,841019.69,466853.14,55790.06,28477.27,289899.22,128328.66,161570.56,0.0,conventional,WestTexNewMexico,0.84
63,30,2017-06-04,3649478.04,559144.79,1336833.13,287895.63,1465604.49,858903.25,564981.58,41719.66,conventional,GreatLakes,1.33
64,33,2016-05-08,969780.21,155346.32,244456.0,20852.69,549125.2,544998.05,3539.1,588.05,conventional,Portland,0.75
65,11,2018-01-07,771313.78,89883.07,466602.79,4167.07,210660.85,189304.53,21356.32,0.0,conventional,BaltimoreWashington,1.5
66,35,2016-04-24,3136882.52,1115902.49,704492.28,102738.69,1213749.06,1010395.4,185289.33,18064.33,conventional,LosAngeles,0.75
67,5,2015-11-22,1355.67,286.54,0.0,0.0,1069.13,1069.13,0.0,0.0,organic,NewOrleansMobile,1.7
68,20,2017-08-13,5429.19,238.64,1946.25,3.6,3240.7,1704.44,1536.26,0.0,organic,StLouis,2.28
69,52,2017-01-01,49777.56,4157.31,9930.6,262.28,35427.37,15637.05,19790.32,0.0,organic,Southeast,1.43
70,22,2015-07-26,27737.07,8288.45,18815.78,50.43,582.41,0.0,582.41,0.0,organic,Seattle,2.2
71,48,2017-01-29,838930.98,114095.9,187068.73,478.51,537287.84,496669.13,40312.44,306.27,conventional,Seattle,0.86
72,42,2017-03-12,7789.5,476.63,345.2,19.42,6948.25,6948.25,0.0,0.0,organic,HarrisburgScranton,2.21
73,0,2017-12-31,32775.71,398.15,2116.14,0.0,30261.42,27997.42,2264.0,0.0,organic,Detroit,1.05
74,10,2017-10-22,376196.84,39322.2,201632.28,288.94,134953.42,122293.75,12659.67,0.0,conventional,Philadelphia,1.53
75,46,2015-02-08,282822.72,169169.05,41468.74,12641.17,59543.76,44770.78,14772.98,0.0,conventional,SouthCarolina,1.06
76,0,2018-03-25,15303.4,2325.3,2171.66,0.0,10806.44,10569.8,236.64,0.0,organic,WestTexNewMexico,1.62
77,27,2016-06-19,497270.56,234054.37,127730.8,111.83,135373.56,68955.92,55517.64,10900.0,conventional,Tampa,0.98
78,32,2017-05-21,1291606.06,728358.74,222773.66,2961.89,337511.77,334652.93,2828.41,30.43,conventional,DallasFtWorth,0.91
79,44,2017-02-26,60421.42,1108.5,40969.38,4.3,18339.24,18169.46,8.67,161.11,conventional,Syracuse,1.57
80,39,2017-04-02,5719811.06,1856672.56,1580307.3,150682.37,2132148.83,2059479.45,16199.12,56470.26,conventional,California,1.22
81,5,2018-02-18,8534.53,131.47,781.0,0.0,7622.06,6452.23,1169.83,0.0,organic,Tampa,1.5
82,21,2016-07-31,253671.67,48175.7,110154.96,346.77,94994.24,90147.67,591.57,4255.0,conventional,HarrisburgScranton,1.37
83,12,2015-10-04,3259659.28,1909901.24,591640.18,25995.26,732122.6,340717.96,391377.16,27.48,conventional,Southeast,0.98
84,27,2015-06-21,48785.22,5390.54,20200.25,1166.45,22027.98,21513.69,514.29,0.0,organic,Northeast,2.12
85,12,2015-10-04,267919.95,123692.52,70671.2,14906.36,58649.87,38750.39,19899.48,0.0,conventional,SouthCarolina,1.04
86,17,2017-09-03,5470.24,439.16,1794.3,0.0,3236.78,2042.89,1193.89,0.0,organic,Orlando,2.45
87,3,2015-12-06,139927.17,22320.01,49596.02,61.25,67949.89,3623.32,64326.57,0.0,organic,West,1.39
88,38,2017-04-09,1868022.01,888870.09,497864.55,9239.84,472047.53,450706.0,5367.56,15973.97,conventional,Plains,1.28
89,50,2017-01-15,10672.07,148.64,4643.38,570.26,5309.79,4702.52,607.27,0.0,organic,Charlotte,1.5
90,8,2016-10-30,223089.05,79018.69,31778.97,7157.69,105133.7,42630.66,62503.04,0.0,conventional,LasVegas,1.16
91,21,2017-08-06,1253537.5,663949.1,307186.94,2723.49,279677.97,187977.48,90232.72,1467.77,conventional,DallasFtWorth,0.98
92,25,2017-07-09,3943.55,44.2,188.68,0.0,3710.67,3703.89,6.78,0.0,organic,Tampa,1.68
93,52,2017-01-01,232663.88,2772.36,188107.91,2695.77,39087.84,38034.62,919.42,133.8,conventional,HartfordSpringfield,1.64
94,3,2015-12-06,649141.25,51129.29,453586.5,25760.49,118664.97,117112.77,1552.2,0.0,conventional,BaltimoreWashington,1.04
95,48,2017-01-29,11638.55,1129.81,3211.73,9.28,7287.73,7258.26,29.47,0.0,organic,LasVegas,1.31
96,21,2016-07-31,9953.15,2964.22,3659.42,0.0,3329.51,420.58,2908.93,0.0,organic,LasVegas,2.27
97,4,2018-02-25,2115879.93,879720.97,527659.45,9044.15,699455.36,641489.04,57064.05,902.27,conventional,Plains,1.13
98,25,2017-07-09,4406341.73,289590.47,2850917.36,25597.43,1240236.47,1034138.98,140035.79,66061.7,conventional,Northeast,1.58
99,1,2015-12-20,420476.44,130565.46,119298.5,25052.93,145559.55,111019.22,34540.33,0.0,conventional,SanDiego,0.94
100,22,2016-07-24,28452.22,14466.93,3103.21,53.93,10828.15,10778.15,50.0,0.0,organic,Denver,1.47
101,19,2015-08-16,1164.87,6.18,22.02,0.0,1136.67,1136.67,0.0,0.0,organic,MiamiFtLauderdale,1.51
102,24,2016-07-10,4729.39,0.0,1495.25,0.0,3234.14,446.67,2787.47,0.0,organic,Boise,1.34
103,37,2017-04-16,342545.94,68514.24,51563.48,38761.83,183706.39,165252.92,3614.14,14839.33,conventional,Detroit,1.45
104,51,2017-01-08,877646.01,137600.57,252977.95,16698.99,470368.5,423677.63,46173.85,517.02,conventional,Portland,0.85
105,1,2015-12-20,211066.05,115402.34,39931.51,6244.22,49487.98,44628.73,4851.44,7.81,conventional,SouthCarolina,1.04
106,48,2015-01-25,114052.94,1321.19,54007.48,74.53,58649.74,57909.74,740.0,0.0,conventional,BuffaloRochester,1.5
107,18,2016-08-21,10605.21,882.35,4181.99,6.88,5533.99,5365.02,168.97,0.0,organic,Philadelphia,1.87
108,8,2015-11-01,8109.3,1553.13,5744.36,0.0,811.81,190.0,621.81,0.0,organic,Detroit,1.85
109,21,2015-08-02,2184.03,331.81,1800.15,0.0,52.07,0.0,52.07,0.0,organic,Spokane,2.11
110,43,2015-03-01,572552.24,317625.55,202619.21,14036.07,38271.41,32922.93,5315.64,32.84,conventional,SanDiego,0.83
111,4,2017-12-03,1135877.0,678640.0,215949.0,10981.0,230306.0,156307.0,70637.0,3362.0,conventional,PhoenixTucson,0.72
112,8,2016-10-30,576353.94,99369.74,239345.04,16411.08,221228.08,76674.6,144255.79,297.69,conventional,Denver,1.13
113,6,2018-02-11,121804.36,8183.48,95548.47,61.0,18011.41,13264.91,4295.39,451.11,conventional,Albany,1.45
114,0,2016-12-25,428247.63,119611.9,263467.16,811.18,44357.39,39136.56,2868.61,2352.22,conventional,Sacramento,1.07
115,37,2015-04-12,149583.28,3254.92,135705.27,0.0,10623.09,8421.24,2201.85,0.0,organic,GreatLakes,1.42
116,42,2017-03-12,281539.78,78536.35,110931.62,7528.92,84542.89,83251.21,1291.68,0.0,conventional,RaleighGreensboro,1.42
117,3,2017-12-10,148882.83,3001.05,51148.46,0.0,94204.9,82525.77,11679.13,0.0,organic,GreatLakes,1.49
118,34,2017-05-07,13580.31,29.67,398.54,0.0,13152.1,13152.1,0.0,0.0,organic,NorthernNewEngland,1.57
119,49,2017-01-22,246514.81,75808.7,50763.51,376.72,119565.88,28445.81,91120.07,0.0,conventional,Jacksonville,0.91
120,43,2015-03-01,3520.47,17.44,126.08,0.0,3376.95,3376.95,0.0,0.0,organic,BuffaloRochester,1.55
121,39,2017-04-02,288015.28,67802.69,87489.8,2400.17,130322.62,130221.54,98.86,2.22,conventional,RichmondNorfolk,1.19
122,1,2016-12-18,161136.65,908.23,109288.75,4631.16,46308.51,42335.09,3947.09,26.33,conventional,GrandRapids,1.14
123,15,2015-09-13,2512.58,311.33,1618.91,0.0,582.34,326.67,255.67,0.0,organic,Indianapolis,1.64
124,8,2017-11-05,384628.71,38006.98,174069.17,181.44,172371.12,141562.78,30808.34,0.0,conventional,Philadelphia,1.4
125,34,2015-05-03,10694.75,518.26,7336.27,0.0,2840.22,580.0,2260.22,0.0,organic,Detroit,1.37
126,52,2017-01-01,1336539.2,526727.72,438041.57,4254.9,367515.01,364446.02,2152.59,916.4,conventional,DallasFtWorth,0.68
127,50,2016-01-10,41864.22,15773.34,7657.9,565.69,17867.29,14426.01,3441.28,0.0,organic,Southeast,1.64
128,41,2015-03-15,56870.1,2010.14,36582.61,1294.26,16983.09,9906.76,6777.06,299.27,conventional,Louisville,1.21
129,48,2017-01-29,107225.04,34693.77,30342.44,1353.22,40835.61,35389.28,5446.33,0.0,conventional,Pittsburgh,1.26
130,40,2017-03-26,125710.73,17237.4,32193.35,7.96,76272.02,73831.31,2440.71,0.0,organic,LosAngeles,1.33
131,4,2015-11-29,217965.37,125440.43,42269.54,7454.33,42801.07,33356.89,9433.78,10.4,conventional,SouthCarolina,0.97
132,45,2017-02-19,17954.08,1900.85,3776.59,0.0,12276.64,11577.52,699.12,0.0,organic,LasVegas,1.15
133,1,2016-12-18,333093.29,113248.41,76982.86,118.25,142743.77,63529.34,79119.99,94.44,conventional,Orlando,0.92
134,39,2016-03-27,7081399.02,2701807.88,1651027.14,190076.1,2538487.9,1771851.21,765592.73,1043.96,conventional,West,0.78
135,6,2016-11-13,2706838.44,126870.22,1797497.36,14009.38,768461.48,716107.95,52343.53,10.0,conventional,Northeast,1.67
136,30,2017-06-04,5428.05,1070.87,139.61,0.0,4217.57,4215.74,1.83,0.0,organic,MiamiFtLauderdale,1.97
137,9,2016-10-23,213547.17,4201.36,152903.95,194.14,56247.72,56074.0,104.28,69.44,conventional,HartfordSpringfield,1.78
138,32,2017-05-21,2976.18,0.0,262.29,0.0,2713.89,1109.61,1604.28,0.0,organic,Syracuse,2.07
139,9,2015-10-25,1106.41,14.34,690.76,3.91,397.4,220.0,177.4,0.0,organic,Boise,1.95
140,2,2016-12-11,7514.4,19.71,3180.04,10.97,4303.68,4299.87,3.81,0.0,organic,HartfordSpringfield,2.54
141,46,2016-02-07,1259.46,7.32,890.84,0.0,361.3,83.33,277.97,0.0,organic,Louisville,1.59
142,41,2017-03-19,250471.76,66618.17,101944.33,2551.0,79358.26,77669.45,1688.81,0.0,conventional,RichmondNorfolk,1.29
143,44,2015-02-22,81291.05,43057.55,6627.71,0.0,31605.79,31043.33,562.46,0.0,organic,SouthCentral,1.37
144,32,2015-05-17,135281.35,55106.27,46302.99,68.28,33803.81,32381.59,1422.22,0.0,conventional,Roanoke,1.08
145,42,2016-03-06,97421.21,41714.26,5373.09,7307.07,43026.79,42481.59,527.8,17.4,conventional,Boise,0.86
146,19,2016-08-14,265537.57,148300.05,48204.73,189.86,68842.93,52182.75,14285.18,2375.0,conventional,NewOrleansMobile,1.11
147,31,2015-05-24,62670.56,43917.94,5442.25,0.0,13310.37,12139.04,1171.33,0.0,organic,SouthCentral,1.39
148,47,2015-02-01,13645.72,10810.58,2016.62,0.0,818.52,813.46,5.06,0.0,organic,PhoenixTucson,1.18
149,20,2015-08-09,14774.26,289.65,12902.16,0.0,1582.45,346.67,1235.78,0.0,organic,CincinnatiDayton,1.59
150,28,2015-06-14,3551.66,123.54,2957.88,7.93,462.31,462.31,0.0,0.0,organic,HartfordSpringfield,2.25
151,4,2017-12-03,5649.91,85.78,149.33,0.0,5414.8,5225.55,189.25,0.0,organic,NewOrleansMobile,1.46
152,46,2015-02-08,6499.18,509.02,4643.12,0.0,1347.04,913.33,433.71,0.0,organic,Detroit,1.86
153,0,2017-12-31,4398887.92,1092011.22,1740608.6,364049.45,1202218.65,927628.08,231172.74,43417.83,conventional,GreatLakes,0.92
154,50,2016-01-10,5614.09,2123.47,2121.26,0.0,1369.36,392.02,977.34,0.0,organic,Atlanta,1.66
155,30,2017-06-04,5718.65,458.07,1976.71,0.0,3283.87,46.67,3237.2,0.0,organic,Spokane,1.56
156,44,2016-02-21,141335.89,63676.54,22329.28,211.65,55118.42,18439.32,36679.1,0.0,conventional,Jacksonville,1.01
157,1,2018-03-18,517463.38,154151.99,270169.95,840.67,92300.77,84669.16,734.35,6897.26,conventional,Sacramento,1.14
158,38,2015-04-05,126109.82,67298.39,30313.37,9926.54,18571.52,17853.07,642.52,75.93,conventional,Columbus,1.09
159,19,2017-08-20,772883.21,462664.9,91342.95,7461.86,211413.5,100740.73,108212.77,2460.0,conventional,WestTexNewMexico,1.01
160,0,2017-12-31,467584.3,146333.69,91027.9,25276.56,204946.15,161600.45,41058.72,2286.98,conventional,Detroit,0.84
161,4,2018-02-25,405689.01,178666.56,70216.92,3960.77,152844.76,119270.49,30146.09,3428.18,conventional,SouthCarolina,1.25
162,26,2016-06-26,90301.82,24210.14,18081.59,3974.43,44035.66,44033.23,0.0,2.43,conventional,Spokane,1.02
163,46,2017-02-12,765983.21,265975.96,394642.91,22683.76,82680.58,76702.05,1053.53,4925.0,conventional,SanFrancisco,1.14
164,16,2017-09-10,63283.62,2319.29,8702.11,102.72,52159.5,52159.5,0.0,0.0,organic,BaltimoreWashington,1.59
165,19,2015-08-16,15289.67,1761.18,13512.74,0.0,15.75,15.75,0.0,0.0,organic,SanFrancisco,2.73
166,13,2017-10-01,154956.62,73759.23,21324.74,90.32,59782.33,52292.12,7431.64,58.57,conventional,Nashville,1.7
167,39,2015-03-29,3933.04,8.82,3776.05,0.0,148.17,116.67,31.5,0.0,organic,Boise,1.52
168,11,2018-01-07,746903.16,513398.84,68558.71,1946.21,162999.4,75200.98,87798.42,0.0,conventional,MiamiFtLauderdale,1.22
169,48,2016-01-24,3898235.29,1193349.63,1530143.69,245808.96,928933.01,705848.56,159609.68,63474.77,conventional,SouthCentral,0.94
170,35,2017-04-30,6331.52,2222.42,3238.73,1.35,869.02,865.28,3.74,0.0,organic,Sacramento,2.39
171,41,2015-03-15,2462108.11,570576.91,1066470.63,210234.78,614825.79,578103.5,34641.93,2080.36,conventional,Midsouth,1.19
172,7,2017-11-12,200521.0,58938.0,69122.0,982.0,71479.0,69009.0,2411.0,59.0,conventional,RichmondNorfolk,1.26
173,2,2018-03-11,17727.19,2335.09,3082.62,0.0,12309.48,12278.25,31.23,0.0,organic,PhoenixTucson,1.62
174,43,2016-02-28,190263.02,99189.75,31558.82,7034.53,52479.92,27927.65,24552.27,0.0,conventional,Nashville,0.88
175,41,2016-03-13,3340.37,25.38,586.33,0.0,2728.66,96.67,2631.99,0.0,organic,Boise,0.95
176,13,2017-10-01,8873.32,1474.43,1689.97,0.0,5708.92,5639.42,69.5,0.0,organic,WestTexNewMexico,2.37
177,7,2017-11-12,2664.62,0.0,245.71,0.0,2418.91,2418.91,0.0,0.0,organic,Albany,1.71
178,32,2015-05-17,22470.42,6094.92,7358.76,3915.19,5101.55,5101.55,0.0,0.0,organic,BaltimoreWashington,1.42
179,4,2018-02-25,151330.38,12862.56,69046.27,64.77,69356.78,43442.45,25218.77,695.56,conventional,BuffaloRochester,1.23
180,40,2017-03-26,225271.53,48843.91,94477.7,7655.97,74293.95,69700.62,4593.33,0.0,conventional,Charlotte,1.48
181,26,2016-06-26,98077.6,2762.38,56614.79,3534.27,35166.16,16663.76,15457.04,3045.36,conventional,Louisville,1.06
182,5,2016-11-20,841.53,43.11,481.19,0.0,317.23,317.23,0.0,0.0,organic,GrandRapids,2.26
183,10,2015-10-18,1398.54,0.0,59.14,0.0,1339.4,1336.72,2.68,0.0,organic,Syracuse,1.61
184,10,2016-10-16,4967651.41,2588086.77,984551.0,18419.04,1376594.6,1088286.99,263848.4,24459.21,conventional,SouthCentral,1.03
185,24,2015-07-12,31660031.68,12384449.4,12403360.2,980361.75,5891860.33,5067198.34,796786.14,27875.85,conventional,TotalUS,1.07
186,41,2016-03-13,188478.21,91631.74,32085.32,5965.84,58795.31,27726.02,31069.29,0.0,conventional,Nashville,0.87
187,20,2015-08-09,405555.56,14929.69,294414.04,801.53,95410.3,88554.27,6856.03,0.0,conventional,Philadelphia,1.19
188,45,2017-02-19,521125.33,27790.5,391316.37,5419.01,96599.45,88030.23,8569.22,0.0,conventional,Boston,1.31
189,30,2016-05-29,144179.65,43253.38,13727.01,4019.29,83179.97,65946.52,17233.45,0.0,organic,SouthCentral,1.07
190,8,2018-01-28,1336979.09,118616.17,280080.34,1270.61,936859.49,796104.27,140652.84,102.38,organic,TotalUS,1.61
191,10,2016-10-16,8551.32,2904.44,3741.95,0.0,1904.93,1845.51,59.42,0.0,organic,PhoenixTucson,2.04
192,23,2015-07-19,8067.82,20.58,1104.69,0.0,6942.55,6942.55,0.0,0.0,organic,NorthernNewEngland,1.96
193,21,2015-08-02,1196.53,12.8,972.43,0.0,211.3,136.67,74.63,0.0,organic,Boise,2.15
194,21,2015-08-02,3856.28,636.53,1406.72,535.15,1277.88,947.22,330.66,0.0,organic,SouthCarolina,1.94
195,22,2017-07-30,212607.67,54840.38,81789.28,6237.96,69740.05,63813.12,4829.15,1097.78,conventional,Charlotte,1.4
196,26,2016-06-26,6407277.49,2333532.13,1967324.63,328206.37,1778214.36,1641400.92,107903.9,28909.54,conventional,California,1.03
197,9,2015-10-25,7895.81,1520.03,5456.64,0.0,919.14,383.33,535.81,0.0,organic,Detroit,1.8
198,12,2016-10-02,291185.37,18423.35,222357.93,3193.18,47210.91,47207.35,3.56,0.0,conventional,NorthernNewEngland,1.52
199,13,2016-09-25,44993.62,4312.89,19596.71,1090.56,19993.46,11441.45,8552.01,0.0,organic,Plains,1.87
200,13,2015-09-27,63902.9,25431.53,23735.71,2196.24,12539.42,12539.42,0.0,0.0,conventional,Spokane,1.09
201,14,2017-09-24,124121.46,43104.01,2957.09,0.0,78060.36,74777.97,3282.39,0.0,organic,SouthCentral,1.77
202,2,2017-12-17,10784.73,196.04,131.48,0.0,10457.21,3560.34,6896.87,0.0,organic,BuffaloRochester,1.15
203,35,2015-04-26,8109.67,89.77,4454.61,919.05,2646.24,1748.63,897.61,0.0,organic,RaleighGreensboro,1.51
204,1,2016-12-18,522499.15,103822.87,135172.07,11774.35,271729.86,270658.02,907.04,164.8,conventional,Portland,0.93
205,24,2016-07-10,291978.06,149481.91,41307.31,335.0,100853.84,79378.63,10060.49,11414.72,conventional,NewOrleansMobile,1.06
206,24,2016-07-10,48278.48,3311.13,21765.75,5489.97,17711.63,9276.63,8435.0,0.0,organic,Plains,1.7
207,32,2016-05-15,141716.2,41009.19,55894.53,199.99,44612.49,42432.85,2073.58,106.06,conventional,Roanoke,0.94
208,5,2016-11-20,1093097.04,16970.61,732069.33,2999.16,341057.94,303438.25,35803.02,1816.67,conventional,NewYork,1.59
209,16,2017-09-10,27205.13,1051.52,10952.09,8.82,15192.7,1109.64,14018.66,64.4,organic,Seattle,2.87
210,12,2015-10-04,176416.14,27947.64,79505.2,59.03,68904.27,2908.21,65996.06,0.0,organic,West,1.61
211,51,2015-01-04,109215.0,48285.15,37562.78,34.1,23332.97,21582.97,1750.0,0.0,conventional,Roanoke,1.13
212,33,2015-05-10,742672.03,172662.98,462218.87,33343.35,74446.83,73411.19,1035.64,0.0,conventional,SanFrancisco,1.3
213,10,2016-10-16,203089.29,75896.57,67555.19,4957.43,54680.1,53622.78,1057.32,0.0,conventional,RichmondNorfolk,1.28
214,2,2017-12-17,381303.71,248830.89,30567.37,865.3,101040.15,56490.38,44549.77,0.0,conventional,Orlando,1.01
215,39,2016-03-27,35930195.92,11249198.4,12745266.73,1880231.38,10055499.41,7745105.36,2228007.91,82386.14,conventional,TotalUS,0.94
216,2,2016-12-11,5039.91,224.05,2060.34,0.0,2755.52,73.89,2681.63,0.0,organic,Nashville,1.02
217,10,2015-10-18,407866.27,4980.03,357183.34,594.12,45108.78,42004.56,3104.22,0.0,conventional,HartfordSpringfield,0.93
218,5,2016-11-20,131605.7,53849.43,12277.03,98.85,65380.39,54104.45,10860.94,415.0,conventional,Nashville,1.33
