"No.","Time","Source","Destination","Protocol","Length","Info"
"13","4.402951","192.168.93.1","192.168.93.4","DNS","161","Standard query response 0x2284 No such name A d33d01SWRQGEZ.tentopspot.net SOA a.gtld-servers.net"
"14","4.914525","192.168.93.1","192.168.93.4","DNS","161","Standard query response 0xf02b No such name A d33d01DGNBVGY.tentopspot.net SOA a.gtld-servers.net"
"15","5.325812","192.168.93.1","192.168.93.4","DNS","161","Standard query response 0x3ad9 No such name A d33d013TQOLBM.tentopspot.net SOA a.gtld-servers.net"
"16","5.364083","192.168.93.1","192.168.93.4","DNS","161","Standard query response 0x1742 No such name A d33d01JRWIZLG.tentopspot.net SOA a.gtld-servers.net"
"17","5.420046","192.168.93.1","192.168.93.4","DNS","161","Standard query response 0xccc1 No such name A d33d09M5UGS2T.tentopspot.net SOA a.gtld-servers.net"
"18","5.736171","192.168.93.1","192.168.93.4","DNS","161","Standard query response 0xe21f No such name A d33d17LNRWW43.tentopspot.net SOA a.gtld-servers.net"
"19","5.775882","192.168.93.1","192.168.93.4","DNS","161","Standard query response 0x1109 No such name A d33d043QOFZHG.tentopspot.net SOA a.gtld-servers.net"
"20","5.812583","192.168.93.1","192.168.93.4","DNS","161","Standard query response 0xcae9 No such name A d33d205DVOZ3X.tentopspot.net SOA a.gtld-servers.net"
"21","6.072480","192.168.93.1","192.168.93.4","DNS","161","Standard query response 0x6c5d No such name A d33d16Q6L2FMX.tentopspot.net SOA a.gtld-servers.net"
"22","6.109748","192.168.93.1","192.168.93.4","DNS","161","Standard query response 0xc4ac No such name A d33d33SA3LBMV.tentopspot.net SOA a.gtld-servers.net"
"23","6.152368","192.168.93.1","192.168.93.4","DNS","161","Standard query response 0xf91c No such name A d33d23RWK3TBO.tentopspot.net SOA a.gtld-servers.net"
"24","6.450698","192.168.93.1","192.168.93.4","DNS","161","Standard query response 0x4253 No such name A d33d04MQHM33M.tentopspot.net SOA a.gtld-servers.net"
"25","6.759647","192.168.93.1","192.168.93.4","DNS","161","Standard query response 0x9daf No such name A d33d29OV2HAYL.tentopspot.net SOA a.gtld-servers.net"
"26","7.064871","192.168.93.1","192.168.93.4","DNS","161","Standard query response 0x0498 No such name A d33d17UEBRW63.tentopspot.net SOA a.gtld-servers.net"
"27","7.381477","192.168.93.1","192.168.93.4","DNS","161","Standard query response 0xe02b No such name A d33d05TENFWWK.tentopspot.net SOA a.gtld-servers.net"
"28","7.680667","192.168.93.1","192.168.93.4","DNS","161","Standard query response 0x6bb5 No such name A d33d013TUOVWS.tentopspot.net SOA a.gtld-servers.net"
"29","7.744125","192.168.93.1","192.168.93.4","DNS","161","Standard query response 0x1585 No such name A d33d01AZLHMVZ.tentopspot.net SOA a.gtld-servers.net"
"30","8.090124","192.168.93.1","192.168.93.4","DNS","161","Standard query response 0x8b7b No such name A d33d11XIYLTFY.tentopspot.net SOA a.gtld-servers.net"
"31","8.397274","192.168.93.1","192.168.93.4","DNS","161","Standard query response 0x03a2 No such name A d33d33QHAZLMN.tentopspot.net SOA a.gtld-servers.net"
"32","8.908433","192.168.93.1","192.168.93.4","DNS","161","Standard query response 0xae64 No such name A d33d07RSW45DF.tentopspot.net SOA a.gtld-servers.net"
"33","9.319414","192.168.93.1","192.168.93.4","DNS","161","Standard query response 0x958d No such name A d33d01ONYXKZJ.tentopspot.net SOA a.gtld-servers.net"
"34","9.632581","192.168.93.1","192.168.93.4","DNS","161","Standard query response 0x0a07 No such name A d33d01AOZUXIY.tentopspot.net SOA a.gtld-servers.net"
"35","9.851635","192.168.93.1","192.168.93.4","DNS","161","Standard query response 0xe7b1 No such name A d33d01LFEBYG6.tentopspot.net SOA a.gtld-servers.net"
"36","10.141819","192.168.93.1","192.168.93.4","DNS","161","Standard query response 0x1001 No such name A d33d204TUORUX.tentopspot.net SOA a.gtld-servers.net"
"37","10.188425","192.168.93.1","192.168.93.4","DNS","161","Standard query response 0xbcc0 No such name A d33d01I33SEB2.tentopspot.net SOA a.gtld-servers.net"
"38","10.547063","192.168.93.1","192.168.93.4","DNS","161","Standard query response 0x24b5 No such name A d33d02HK4TQNF.tentopspot.net SOA a.gtld-servers.net"
"39","10.803320","192.168.93.1","192.168.93.4","DNS","161","Standard query response 0xb080 No such name A d33d49ZSYIDTM.tentopspot.net SOA a.gtld-servers.net"
"40","11.000448","192.168.93.1","192.168.93.4","DNS","161","Standard query response 0x8c84 No such name A d33d01VSCAZTB.tentopspot.net SOA a.gtld-servers.net"
"41","11.102632","192.168.93.1","192.168.93.4","DNS","161","Standard query response 0x5b70 No such name A d33d23MNUWY2L.tentopspot.net SOA a.gtld-servers.net"
"42","11.263872","192.168.93.1","192.168.93.4","DNS","161","Standard query response 0x27c3 No such name A d33d53TNFZSA2.tentopspot.net SOA a.gtld-servers.net"
"43","11.572073","192.168.93.1","192.168.93.4","DNS","161","Standard query response 0x1cfe No such name A d33d14LQON2W2.tentopspot.net SOA a.gtld-servers.net"
"44","11.902748","192.168.93.1","192.168.93.4","DNS","161","Standard query response 0x3e8a No such name A d33d48LRAMR2W.tentopspot.net SOA a.gtld-servers.net"
"45","12.158796","192.168.93.1","192.168.93.4","DNS","161","Standard query response 0x616b No such name A d33d28S4ZAOZS.tentopspot.net SOA a.gtld-servers.net"
"46","12.419509","192.168.93.1","192.168.93.4","DNS","161","Standard query response 0xe217 No such name A d33d40WYIDJNZ.tentopspot.net SOA a.gtld-servers.net"
"47","12.681259","192.168.93.1","192.168.93.4","DNS","161","Standard query response 0xadbc No such name A d33d182GK4TEO.tentopspot.net SOA a.gtld-servers.net"
"48","12.914592","192.168.93.1","192.168.93.4","DNS","161","Standard query response 0x10c7 No such name A d33d38VWSA3LJ.tentopspot.net SOA a.gtld-servers.net"
"49","12.974214","192.168.93.1","192.168.93.4","DNS","161","Standard query response 0x3c13 No such name A d33d28FQQGC5B.tentopspot.net SOA a.gtld-servers.net"
"50","13.293444","192.168.93.1","192.168.93.4","DNS","161","Standard query response 0x4e09 No such name A d33d40AMRQXA2.tentopspot.net SOA a.gtld-servers.net"
"51","13.626453","192.168.93.1","192.168.93.4","DNS","161","Standard query response 0xe4d1 No such name A d33d18LCOVZSA.tentopspot.net SOA a.gtld-servers.net"
"52","13.893952","192.168.93.1","192.168.93.4","DNS","161","Standard query response 0xa052 No such name A d33d32YLVM52W.tentopspot.net SOA a.gtld-servers.net"
"53","14.234439","192.168.93.1","192.168.93.4","DNS","161","Standard query response 0x51b3 No such name A d33d22KLRANVX.tentopspot.net SOA a.gtld-servers.net"
"54","14.541128","192.168.93.1","192.168.93.4","DNS","161","Standard query response 0x3e39 No such name A d33d08XEYTJEB.tentopspot.net SOA a.gtld-servers.net"
"55","15.054248","192.168.93.1","192.168.93.4","DNS","161","Standard query response 0x0f9a No such name A d33d383HK3DQO.tentopspot.net SOA a.gtld-servers.net"
"56","15.368372","192.168.93.1","192.168.93.4","DNS","161","Standard query response 0xaa91 No such name A d33d49V2GC5DF.tentopspot.net SOA a.gtld-servers.net"
"57","15.677921","192.168.93.1","192.168.93.4","DNS","161","Standard query response 0xc731 No such name A d33d26EB2WY5D.tentopspot.net SOA a.gtld-servers.net"
"58","15.974850","192.168.93.1","192.168.93.4","DNS","161","Standard query response 0xae5d No such name A d33d24SNFRWSZ.tentopspot.net SOA a.gtld-servers.net"
"59","16.244998","192.168.93.1","192.168.93.4","DNS","161","Standard query response 0xe7db No such name A d33d14LTEB3HK.tentopspot.net SOA a.gtld-servers.net"
"60","16.531988","192.168.93.1","192.168.93.4","DNS","161","Standard query response 0xa550 No such name A d33d303DQOV2G.tentopspot.net SOA a.gtld-servers.net"
"61","16.750042","192.168.93.1","192.168.93.4","DNS","161","Standard query response 0x7283 No such name A d33d12C5DFFYQ.tentopspot.net SOA a.gtld-servers.net"
"62","16.812085","192.168.93.1","192.168.93.4","DNS","161","Standard query response 0xfd5b No such name A d33d40GK5DJMF.tentopspot.net SOA a.gtld-servers.net"
"63","16.864828","192.168.93.1","192.168.93.4","DNS","161","Standard query response 0x625d No such name A d33d34WSAYJAO.tentopspot.net SOA a.gtld-servers.net"
"64","16.917102","192.168.93.1","192.168.93.4","DNS","161","Standard query response 0x7f28 No such name A d33d46F2WC3JA.tentopspot.net SOA a.gtld-servers.net"
"65","17.150872","192.168.93.1","192.168.93.4","DNS","161","Standard query response 0xcc76 No such name A d33d28MV2SA3T.tentopspot.net SOA a.gtld-servers.net"
"66","17.385063","192.168.93.1","192.168.93.4","DNS","161","Standard query response 0x4315 No such name A d33d06JONUSAZ.tentopspot.net SOA a.gtld-servers.net"
"67","17.621850","192.168.93.1","192.168.93.4","DNS","161","Standard query response 0x7644 No such name A d33d22LVNFZW2.tentopspot.net SOA a.gtld-servers.net"
"68","17.879520","192.168.93.1","192.168.93.4","DNS","161","Standard query response 0x23a7 No such name A d33d2133EEBTG.tentopspot.net SOA a.gtld-servers.net"
"69","18.138608","192.168.93.1","192.168.93.4","DNS","161","Standard query response 0x96b4 No such name A d33d03C5LDNFR.tentopspot.net SOA a.gtld-servers.net"
"70","18.239795","192.168.93.1","192.168.93.4","DNS","161","Standard query response 0xffe0 No such name A d33d17HK4ZAMF.tentopspot.net SOA a.gtld-servers.net"
"71","18.615681","192.168.93.1","192.168.93.4","DNS","161","Standard query response 0xc81a No such name A d33d01RSAYJAN.tentopspot.net SOA a.gtld-servers.net"
"72","18.691916","192.168.93.1","192.168.93.4","DNS","161","Standard query response 0x9618 No such name A d33d04Z2W4YZO.tentopspot.net SOA a.gtld-servers.net"
"73","18.971139","192.168.93.1","192.168.93.4","DNS","161","Standard query response 0xe3c1 No such name A d33d35EBSXI2L.tentopspot.net SOA a.gtld-servers.net"
"74","19.237069","192.168.93.1","192.168.93.4","DNS","161","Standard query response 0x068c No such name A d33d04BNUQHG2.tentopspot.net SOA a.gtld-servers.net"
"75","19.482303","192.168.93.1","192.168.93.4","DNS","161","Standard query response 0x555c No such name A d33d52LUEBQW2.tentopspot.net SOA a.gtld-servers.net"
"76","19.774666","192.168.93.1","192.168.93.4","DNS","161","Standard query response 0xba82 No such name A d33d15ZLUEBSX.tentopspot.net SOA a.gtld-servers.net"
"77","20.181426","192.168.93.1","192.168.93.4","DNS","161","Standard query response 0xdf11 No such name A d33d05QIDFOUQ.tentopspot.net SOA a.gtld-servers.net"
"78","20.478548","192.168.93.1","192.168.93.4","DNS","161","Standard query response 0xee89 No such name A d33d41GY2LHOV.tentopspot.net SOA a.gtld-servers.net"
"79","20.726557","192.168.93.1","192.168.93.4","DNS","161","Standard query response 0x18bf No such name A d33d33WGCIDHO.tentopspot.net SOA a.gtld-servers.net"
"80","20.779076","192.168.93.1","192.168.93.4","DNS","161","Standard query response 0x6505 No such name A d33d61JQXM2LE.tentopspot.net SOA a.gtld-servers.net"
"81","21.040676","192.168.93.1","192.168.93.4","DNS","161","Standard query response 0x7b69 No such name A d33d52MEQHA5L.tentopspot.net SOA a.gtld-servers.net"
"82","21.276823","192.168.93.1","192.168.93.4","DNS","161","Standard query response 0x2d78 No such name A d33d34MOZUW4Y.tentopspot.net SOA a.gtld-servers.net"
"83","21.605708","192.168.93.1","192.168.93.4","DNS","161","Standard query response 0xc498 No such name A d33d10LSEBSWO.tentopspot.net SOA a.gtld-servers.net"
"84","21.869686","192.168.93.1","192.168.93.4","DNS","161","Standard query response 0x7d20 No such name A d33d54ZLUEBQW.tentopspot.net SOA a.gtld-servers.net"
"85","22.100435","192.168.93.1","192.168.93.4","DNS","161","Standard query response 0x6794 No such name A d33d31GIDVOJX.tentopspot.net SOA a.gtld-servers.net"
"86","22.426377","192.168.93.1","192.168.93.4","DNS","161","Standard query response 0xbcb6 No such name A d33d01GCLRANR.tentopspot.net SOA a.gtld-servers.net"
"87","22.648905","192.168.93.1","192.168.93.4","DNS","161","Standard query response 0x56f2 No such name A d33d45XXEZLNE.tentopspot.net SOA a.gtld-servers.net"
"88","22.926075","192.168.93.1","192.168.93.4","DNS","161","Standard query response 0xc0c9 No such name A d33d01BUXA43V.tentopspot.net SOA a.gtld-servers.net"
"89","23.178324","192.168.93.1","192.168.93.4","DNS","161","Standard query response 0x9540 No such name A d33d01NUQGI33.tentopspot.net SOA a.gtld-servers.net"
"90","23.440019","192.168.93.1","192.168.93.4","DNS","161","Standard query response 0x5dbd No such name A d33d17MN5ZCA4.tentopspot.net SOA a.gtld-servers.net"
"91","23.491492","192.168.93.1","192.168.93.4","DNS","161","Standard query response 0xa8a9 No such name A d33d203JOQQGC.tentopspot.net SOA a.gtld-servers.net"
"92","23.758519","192.168.93.1","192.168.93.4","DNS","161","Standard query response 0xa759 No such name A d33d543LFOQWC.tentopspot.net SOA a.gtld-servers.net"
"93","24.065184","192.168.93.1","192.168.93.4","DNS","161","Standard query response 0x10d0 No such name A d33d01AY3PNZZ.tentopspot.net SOA a.gtld-servers.net"
"94","24.374968","192.168.93.1","192.168.93.4","DNS","161","Standard query response 0x3450 No such name A d33d17WKY3UMV.tentopspot.net SOA a.gtld-servers.net"
"95","24.679481","192.168.93.1","192.168.93.4","DNS","161","Standard query response 0x04b6 No such name A d33d012HK4RAM.tentopspot.net SOA a.gtld-servers.net"
"96","24.735329","192.168.93.1","192.168.93.4","DNS","161","Standard query response 0x51ad No such name A d33d01FSGS4DJ.tentopspot.net SOA a.gtld-servers.net"
"97","24.986799","192.168.93.1","192.168.93.4","DNS","161","Standard query response 0x4a36 No such name A d33d02ONRWS3T.tentopspot.net SOA a.gtld-servers.net"
"98","25.233113","192.168.93.1","192.168.93.4","DNS","161","Standard query response 0x20af No such name A d33d02HEBSWY2.tentopspot.net SOA a.gtld-servers.net"
"99","25.293749","192.168.93.1","192.168.93.4","DNS","161","Standard query response 0x13a2 No such name A d33d17LUFYQG2.tentopspot.net SOA a.gtld-servers.net"
"100","25.601564","192.168.93.1","192.168.93.4","DNS","161","Standard query response 0x20fc No such name A d33d01YLFMNSW.tentopspot.net SOA a.gtld-servers.net"
"101","25.907192","192.168.93.1","192.168.93.4","DNS","161","Standard query response 0xb793 No such name A d33d014YLTEB3.tentopspot.net SOA a.gtld-servers.net"
"102","26.214104","192.168.93.1","192.168.93.4","DNS","161","Standard query response 0xc48b No such name A d33d01G63DVOR.tentopspot.net SOA a.gtld-servers.net"
"103","26.523737","192.168.93.1","192.168.93.4","DNS","161","Standard query response 0x3ded No such name A d33d03YGC5BAM.tentopspot.net SOA a.gtld-servers.net"
"104","26.830634","192.168.93.1","192.168.93.4","DNS","161","Standard query response 0x3374 No such name A d33d54NXW4ZDJ.tentopspot.net SOA a.gtld-servers.net"
"105","27.136752","192.168.93.1","192.168.93.4","DNS","161","Standard query response 0xa6e8 No such name A d33d38NVSW45D.tentopspot.net SOA a.gtld-servers.net"
"106","27.443920","192.168.93.1","192.168.93.4","DNS","161","Standard query response 0x355c No such name A d33d29VNUQGKZ.tentopspot.net SOA a.gtld-servers.net"
"107","27.506892","192.168.93.1","192.168.93.4","DNS","161","Standard query response 0x9579 No such name A d33d463FON2GC.tentopspot.net SOA a.gtld-servers.net"
"108","27.854588","192.168.93.1","192.168.93.4","DNS","161","Standard query response 0xbeb1 No such name A d33d434ZOEBKE.tentopspot.net SOA a.gtld-servers.net"
"109","28.161084","192.168.93.1","192.168.93.4","DNS","161","Standard query response 0x00e3 No such name A d33d49SU2DPNX.tentopspot.net SOA a.gtld-servers.net"
"110","28.216113","192.168.93.1","192.168.93.4","DNS","161","Standard query response 0xcb14 No such name A d33d52DG5SFOJ.tentopspot.net SOA a.gtld-servers.net"
"111","28.273027","192.168.93.1","192.168.93.4","DNS","161","Standard query response 0x6f01 No such name A d33d01PTAZDEL.tentopspot.net SOA a.gtld-servers.net"
"112","28.325073","192.168.93.1","192.168.93.4","DNS","161","Standard query response 0xb65b No such name A d33d174YHEX2F.tentopspot.net SOA a.gtld-servers.net"
"113","28.377833","192.168.93.1","192.168.93.4","DNS","161","Standard query response 0x076b No such name A d33d18OYZW47J.tentopspot.net SOA a.gtld-servers.net"
"114","28.672188","192.168.93.1","192.168.93.4","DNS","161","Standard query response 0x5c46 No such name A d33d32AMV2GSY.tentopspot.net SOA a.gtld-servers.net"
"115","28.980011","192.168.93.1","192.168.93.4","DNS","161","Standard query response 0xa9ed No such name A d33d31LNEBQSA.tentopspot.net SOA a.gtld-servers.net"
"116","29.387807","192.168.93.1","192.168.93.4","DNS","161","Standard query response 0xa84f No such name A d33d064LVMFWS.tentopspot.net SOA a.gtld-servers.net"
"117","29.696829","192.168.93.1","192.168.93.4","DNS","161","Standard query response 0xd09a No such name A d33d64AZLVEBX.tentopspot.net SOA a.gtld-servers.net"
"118","29.910223","192.168.93.1","192.168.93.4","DNS","161","Standard query response 0xe6f1 No such name A d33d41GS43JEB.tentopspot.net SOA a.gtld-servers.net"
"119","30.188657","192.168.93.1","192.168.93.4","DNS","161","Standard query response 0x9e46 No such name A d33d16SXK2LTN.tentopspot.net SOA a.gtld-servers.net"
"120","30.421474","192.168.93.1","192.168.93.4","DNS","161","Standard query response 0x5b2b No such name A d33d18VXWIIDG.tentopspot.net SOA a.gtld-servers.net"
"121","30.720831","192.168.93.1","192.168.93.4","DNS","161","Standard query response 0x543f No such name A d33d14MF2WG2L.tentopspot.net SOA a.gtld-servers.net"
"122","31.045163","192.168.93.1","192.168.93.4","DNS","161","Standard query response 0xada8 No such name A d33d46COVZSAY.tentopspot.net SOA a.gtld-servers.net"
"123","31.333567","192.168.93.1","192.168.93.4","DNS","161","Standard query response 0xc775 No such name A d33d34LDEBQSA.tentopspot.net SOA a.gtld-servers.net"
"124","31.642695","192.168.93.1","192.168.93.4","DNS","161","Standard query response 0xf40c No such name A d33d113TVNZRS.tentopspot.net SOA a.gtld-servers.net"
"125","31.904313","192.168.93.1","192.168.93.4","DNS","161","Standard query response 0xc58b No such name A d33d474IDFORU.tentopspot.net SOA a.gtld-servers.net"
"126","32.365633","192.168.93.1","192.168.93.4","DNS","161","Standard query response 0x8103 No such name A d33d35WC3JAME.tentopspot.net SOA a.gtld-servers.net"
"127","32.676894","192.168.93.1","192.168.93.4","DNS","161","Standard query response 0x74ad No such name A d33d35QHC5LBN.tentopspot.net SOA a.gtld-servers.net"
"128","32.974260","192.168.93.1","192.168.93.4","DNS","161","Standard query response 0x2c23 No such name A d33d38UQGK5JA.tentopspot.net SOA a.gtld-servers.net"
"129","33.105236","192.168.93.1","192.168.93.4","DNS","161","Standard query response 0x0158 No such name A d33d50NZUXG2J.tentopspot.net SOA a.gtld-servers.net"
"130","33.384618","192.168.93.1","192.168.93.4","DNS","161","Standard query response 0xef7d No such name A d33d13AMV2WS4.tentopspot.net SOA a.gtld-servers.net"
"131","33.689802","192.168.93.1","192.168.93.4","DNS","161","Standard query response 0x00bb No such name A d33d393NN5SCA.tentopspot.net SOA a.gtld-servers.net"
"132","33.739521","192.168.93.1","192.168.93.4","DNS","161","Standard query response 0xc072 No such name A d33d35ZTBOVRW.tentopspot.net SOA a.gtld-servers.net"
"133","33.996232","192.168.93.1","192.168.93.4","DNS","161","Standard query response 0x48ea No such name A d33d36SYTVOMQ.tentopspot.net SOA a.gtld-servers.net"
"134","34.305219","192.168.93.1","192.168.93.4","DNS","161","Standard query response 0x7215 No such name A d33d55GCYZAME.tentopspot.net SOA a.gtld-servers.net"
"135","34.612574","192.168.93.1","192.168.93.4","DNS","161","Standard query response 0x8341 No such name A d33d21QG45LOM.tentopspot.net SOA a.gtld-servers.net"
"136","34.895613","192.168.93.1","192.168.93.4","DNS","161","Standard query response 0xfe91 No such name A d33d28MXCAZLU.tentopspot.net SOA a.gtld-servers.net"
"137","35.336873","192.168.93.1","192.168.93.4","DNS","161","Standard query response 0x155b No such name A d33d27NFQW2ID.tentopspot.net SOA a.gtld-servers.net"
"138","35.636397","192.168.93.1","192.168.93.4","DNS","161","Standard query response 0xe3e8 No such name A d33d16TNF2CAY.tentopspot.net SOA a.gtld-servers.net"
"139","35.943526","192.168.93.1","192.168.93.4","DNS","161","Standard query response 0x1910 No such name A d33d41LNMV2CA.tentopspot.net SOA a.gtld-servers.net"
"140","36.251364","192.168.93.1","192.168.93.4","DNS","161","Standard query response 0x0cec No such name A d33d02ZLYEBSX.tentopspot.net SOA a.gtld-servers.net"
"141","36.566719","192.168.93.1","192.168.93.4","DNS","161","Standard query response 0x9b48 No such name A d33d43KIDMNFT.tentopspot.net SOA a.gtld-servers.net"
"142","36.864714","192.168.93.1","192.168.93.4","DNS","161","Standard query response 0x62b7 No such name A d33d36XK3DBEB.tentopspot.net SOA a.gtld-servers.net"
"143","37.182404","192.168.93.1","192.168.93.4","DNS","161","Standard query response 0xbd84 No such name A d33d19TXEYLWN.tentopspot.net SOA a.gtld-servers.net"
"144","37.478341","192.168.93.1","192.168.93.4","DNS","161","Standard query response 0xcfc7 No such name A d33d15FSGCIDQ.tentopspot.net SOA a.gtld-servers.net"
"145","37.793872","192.168.93.1","192.168.93.4","DNS","161","Standard query response 0x0ad9 No such name A d33d18OVWHM2L.tentopspot.net SOA a.gtld-servers.net"
"146","38.093543","192.168.93.1","192.168.93.4","DNS","161","Standard query response 0x82e5 No such name A d33d23OMFZCAZ.tentopspot.net SOA a.gtld-servers.net"
"147","38.412804","192.168.93.1","192.168.93.4","DNS","161","Standard query response 0xf23d No such name A d33d22LHMV2CA.tentopspot.net SOA a.gtld-servers.net"
"148","38.824500","192.168.93.1","192.168.93.4","DNS","161","Standard query response 0x14df No such name A d33d10YLDEB2X.tentopspot.net SOA a.gtld-servers.net"
"149","39.117537","192.168.93.1","192.168.93.4","DNS","161","Standard query response 0x09ce No such name A d33d19E3TBFYQ.tentopspot.net SOA a.gtld-servers.net"
"150","39.176299","192.168.93.1","192.168.93.4","DNS","161","Standard query response 0x8de1 No such name A d33d10GY33SMV.tentopspot.net SOA a.gtld-servers.net"
"151","39.233940","192.168.93.1","192.168.93.4","DNS","161","Standard query response 0x60a9 No such name A d33d16WSA2LQO.tentopspot.net SOA a.gtld-servers.net"
"152","39.310477","192.168.93.1","192.168.93.4","DNS","161","Standard query response 0xae56 No such name A d33d24N2W2IDE.tentopspot.net SOA a.gtld-servers.net"
"153","39.627328","192.168.93.1","192.168.93.4","DNS","161","Standard query response 0x057a No such name A d33d56N5WG64R.tentopspot.net SOA a.gtld-servers.net"
"154","39.695698","192.168.93.1","192.168.93.4","DNS","161","Standard query response 0xb4aa No such name A d33d56AONUXII.tentopspot.net SOA a.gtld-servers.net"
"155","39.968632","192.168.93.1","192.168.93.4","DNS","161","Standard query response 0x341d No such name A d33d29DBNVSXI.tentopspot.net SOA a.gtld-servers.net"
"156","40.250531","192.168.93.1","192.168.93.4","DNS","161","Standard query response 0xf200 No such name A d33d29LBAMNXW.tentopspot.net SOA a.gtld-servers.net"
"157","40.513556","192.168.93.1","192.168.93.4","DNS","161","Standard query response 0xfa5f No such name A d33d15443FMN2.tentopspot.net SOA a.gtld-servers.net"
"158","40.756374","192.168.93.1","192.168.93.4","DNS","161","Standard query response 0x300b No such name A d33d59GK5DVOI.tentopspot.net SOA a.gtld-servers.net"
"159","41.023963","192.168.93.1","192.168.93.4","DNS","161","Standard query response 0x0c30 No such name A d33d07QGCZDJO.tentopspot.net SOA a.gtld-servers.net"
"160","41.288026","192.168.93.1","192.168.93.4","DNS","161","Standard query response 0x7bae No such name A d33d21BUXGY3J.tentopspot.net SOA a.gtld-servers.net"
"161","41.527661","192.168.93.1","192.168.93.4","DNS","161","Standard query response 0x5698 No such name A d33d14NZTSAZL.tentopspot.net SOA a.gtld-servers.net"
"162","41.584851","192.168.93.1","192.168.93.4","DNS","161","Standard query response 0xc25d No such name A d33d03MNF2C4I.tentopspot.net SOA a.gtld-servers.net"
"163","41.882484","192.168.93.1","192.168.93.4","DNS","161","Standard query response 0xacd2 No such name A d33d58DNMFSWG.tentopspot.net SOA a.gtld-servers.net"
"164","42.197658","192.168.93.1","192.168.93.4","DNS","161","Standard query response 0x1309 No such name A d33d14ZLOMFZS.tentopspot.net SOA a.gtld-servers.net"
"165","42.249350","192.168.93.1","192.168.93.4","DNS","161","Standard query response 0x19ec No such name A d33d48A5TPNR2.tentopspot.net SOA a.gtld-servers.net"
"166","42.600091","192.168.93.1","192.168.93.4","DNS","161","Standard query response 0x6b58 No such name A d33d04XI4DBOQ.tentopspot.net SOA a.gtld-servers.net"
"167","44.443422","192.168.93.1","192.168.93.4","DNS","161","Standard query response 0xb09f No such name A d33d08QGG33OM.tentopspot.net SOA a.gtld-servers.net"
"168","44.495623","192.168.93.1","192.168.93.4","DNS","161","Standard query response 0x3d5e No such name A d33d25RUW2ZLO.tentopspot.net SOA a.gtld-servers.net"
"169","44.750213","192.168.93.1","192.168.93.4","DNS","161","Standard query response 0x8e20 No such name A d33d13OR2W2ID.tentopspot.net SOA a.gtld-servers.net"
"170","45.056865","192.168.93.1","192.168.93.4","DNS","161","Standard query response 0xecf6 No such name A d33d64FM5SXG5.tentopspot.net SOA a.gtld-servers.net"
"171","45.112437","192.168.93.1","192.168.93.4","DNS","161","Standard query response 0x47d7 No such name A d33d32DBOMXCA.tentopspot.net SOA a.gtld-servers.net"
"172","45.430302","192.168.93.1","192.168.93.4","DNS","161","Standard query response 0xdf30 No such name A d33d31ZLUNFQW.tentopspot.net SOA a.gtld-servers.net"
"173","45.486139","192.168.93.1","192.168.93.4","DNS","161","Standard query response 0xd518 No such name A d33d092IDBEBY.tentopspot.net SOA a.gtld-servers.net"
"174","45.774506","192.168.93.1","192.168.93.4","DNS","161","Standard query response 0xde99 No such name A d33d49XKYLNEB.tentopspot.net SOA a.gtld-servers.net"
"175","46.089732","192.168.93.1","192.168.93.4","DNS","161","Standard query response 0x6dcb No such name A d33d55SXKIDON.tentopspot.net SOA a.gtld-servers.net"
